Iterations,Recursive,Iterative
0,34791,2709
1,458,541
2,1000,375
3,458,334
4,542,333
5,666,375
6,875,334
7,1250,375
8,2292,375
9,3333,375
10,28542,2042
11,19083,1292
12,57666,1958
13,44917,1292
14,39833,1291
15,10958,1625
16,16042,1334
17,35000,1333
18,43333,1667
19,77208,1375
20,106958,1333
21,196625,1500
22,319916,2500
23,78459,625
24,366459,3250
25,397958,1625
26,350958,1292
27,526792,750
28,850375,708
29,1376291,625
30,2290875,2084
31,3894833,3083
32,6833917,4833
33,11829084,3875
34,17672083,2500
35,26867209,2167
36,40304792,7000
37,71431916,2500
38,106636750,2292
39,166388334,2584
40,257410875,2167
41,415571167,2500
42,673664292,2709
43,1087494500,3000
44,1758466292,2875
45,2840537000,9875
46,4602602625,3292
47,7463642000,2791
48,12076175750,3375
49,19638980709,2583
50,31816154834,2750
